  FedProx Results (mu=0.0001) on WSN-DS
========================================
Accuracy:  98.14%
F1-Score:  98.18%
Mean FPR:  0.63%
Time:      9727.63s (162.1 min)

Convergence (Acc per round):
  Round 1: 3.80%
  Round 2: 4.01%
  Round 3: 6.70%
  Round 4: 13.31%
  Round 5: 90.35%
  Round 6: 95.20%
  Round 7: 95.82%
  Round 8: 95.77%
  Round 9: 95.76%
  Round 10: 95.66%
  Round 11: 95.71%
  Round 12: 95.73%
  Round 13: 95.81%
  Round 14: 95.97%
  Round 15: 95.90%
  Round 16: 96.15%
  Round 17: 95.97%
  Round 18: 96.47%
  Round 19: 96.84%
  Round 20: 96.97%
  Round 21: 96.95%
  Round 22: 97.15%
  Round 23: 97.19%
  Round 24: 97.23%
  Round 25: 97.14%
  Round 26: 97.35%
  Round 27: 97.48%
  Round 28: 97.34%
  Round 29: 97.52%
  Round 30: 97.55%
  Round 31: 97.49%
  Round 32: 97.58%
  Round 33: 97.62%
  Round 34: 97.73%
  Round 35: 97.60%
  Round 36: 97.59%
  Round 37: 97.63%
  Round 38: 97.50%
  Round 39: 97.55%
  Round 40: 97.64%
  Round 41: 97.59%
  Round 42: 97.60%
  Round 43: 97.48%
  Round 44: 97.32%
  Round 45: 97.64%
  Round 46: 97.40%
  Round 47: 97.52%
  Round 48: 97.80%
  Round 49: 97.83%
  Round 50: 97.77%
  Round 51: 97.79%
  Round 52: 97.77%
  Round 53: 97.81%
  Round 54: 97.48%
  Round 55: 97.71%
  Round 56: 97.63%
  Round 57: 97.58%
  Round 58: 97.85%
  Round 59: 97.81%
  Round 60: 97.74%
  Round 61: 97.68%
  Round 62: 97.67%
  Round 63: 97.62%
  Round 64: 97.68%
  Round 65: 97.35%
  Round 66: 97.39%
  Round 67: 97.46%
  Round 68: 97.50%
  Round 69: 97.67%
  Round 70: 97.90%
  Round 71: 97.84%
  Round 72: 97.94%
  Round 73: 97.89%
  Round 74: 97.92%
  Round 75: 98.07%
  Round 76: 97.94%
  Round 77: 98.04%
  Round 78: 98.10%
  Round 79: 98.07%
  Round 80: 98.12%
  Round 81: 98.20%
  Round 82: 98.25%
  Round 83: 98.18%
  Round 84: 98.16%
  Round 85: 98.24%
  Round 86: 98.18%
  Round 87: 98.15%
  Round 88: 98.01%
  Round 89: 98.10%
  Round 90: 98.12%
  Round 91: 98.05%
  Round 92: 98.16%
  Round 93: 98.15%
  Round 94: 98.03%
  Round 95: 98.10%
  Round 96: 98.22%
  Round 97: 97.95%
  Round 98: 98.15%
  Round 99: 98.26%
  Round 100: 98.14%
