Non-IID Results (Stress Test alpha=0.1)
==================================================

FedAvg:
  Accuracy:  97.12%
  F1-Score:  96.61%
  Mean FPR:  2.72%
  Time:      1657.4s (27.6 min)

FedProx (mu=0.01):
  Accuracy:  93.85%
  F1-Score:  92.02%
  Mean FPR:  9.13%
  Time:      2195.7s (36.6 min)

Convergence FedAvg:
  Round 1: 92.06%
  Round 2: 92.36%
  Round 3: 93.77%
  Round 4: 93.84%
  Round 5: 94.10%
  Round 6: 93.95%
  Round 7: 94.16%
  Round 8: 93.83%
  Round 9: 94.28%
  Round 10: 94.21%
  Round 11: 94.37%
  Round 12: 95.23%
  Round 13: 95.09%
  Round 14: 95.83%
  Round 15: 95.97%
  Round 16: 96.13%
  Round 17: 96.31%
  Round 18: 96.24%
  Round 19: 96.29%
  Round 20: 96.63%
  Round 21: 96.51%
  Round 22: 96.66%
  Round 23: 96.71%
  Round 24: 96.55%
  Round 25: 96.80%
  Round 26: 96.71%
  Round 27: 96.82%
  Round 28: 96.51%
  Round 29: 96.41%
  Round 30: 96.66%
  Round 31: 96.69%
  Round 32: 96.58%
  Round 33: 96.90%
  Round 34: 96.56%
  Round 35: 96.56%
  Round 36: 96.90%
  Round 37: 96.44%
  Round 38: 96.81%
  Round 39: 96.91%
  Round 40: 97.24%
  Round 41: 96.79%
  Round 42: 97.07%
  Round 43: 97.02%
  Round 44: 96.99%
  Round 45: 96.97%
  Round 46: 96.95%
  Round 47: 96.98%
  Round 48: 97.08%
  Round 49: 96.78%
  Round 50: 96.98%
  Round 51: 96.90%
  Round 52: 96.80%
  Round 53: 96.71%
  Round 54: 97.05%
  Round 55: 96.98%
  Round 56: 96.88%
  Round 57: 97.03%
  Round 58: 97.06%
  Round 59: 97.09%
  Round 60: 97.06%
  Round 61: 96.97%
  Round 62: 97.04%
  Round 63: 96.98%
  Round 64: 97.06%
  Round 65: 97.09%
  Round 66: 97.11%
  Round 67: 96.68%
  Round 68: 97.11%
  Round 69: 96.97%
  Round 70: 97.04%
  Round 71: 97.20%
  Round 72: 97.16%
  Round 73: 97.20%
  Round 74: 97.08%
  Round 75: 97.19%
  Round 76: 97.10%
  Round 77: 97.19%
  Round 78: 97.14%
  Round 79: 97.13%
  Round 80: 97.12%
  Round 81: 97.21%
  Round 82: 97.23%
  Round 83: 97.13%
  Round 84: 97.13%
  Round 85: 97.14%
  Round 86: 97.21%
  Round 87: 97.07%
  Round 88: 97.16%
  Round 89: 97.15%
  Round 90: 97.17%
  Round 91: 97.24%
  Round 92: 97.16%
  Round 93: 97.19%
  Round 94: 97.09%
  Round 95: 97.21%
  Round 96: 97.14%
  Round 97: 97.09%
  Round 98: 96.94%
  Round 99: 97.19%
  Round 100: 97.12%

Convergence FedProx:
  Round 1: 90.77%
  Round 2: 90.77%
  Round 3: 90.77%
  Round 4: 92.01%
  Round 5: 92.05%
  Round 6: 92.06%
  Round 7: 92.00%
  Round 8: 92.01%
  Round 9: 92.07%
  Round 10: 92.09%
  Round 11: 92.11%
  Round 12: 92.08%
  Round 13: 92.13%
  Round 14: 92.15%
  Round 15: 92.15%
  Round 16: 92.11%
  Round 17: 92.17%
  Round 18: 92.17%
  Round 19: 92.20%
  Round 20: 92.23%
  Round 21: 92.23%
  Round 22: 92.22%
  Round 23: 92.24%
  Round 24: 92.25%
  Round 25: 92.16%
  Round 26: 92.27%
  Round 27: 92.29%
  Round 28: 92.28%
  Round 29: 92.29%
  Round 30: 92.30%
  Round 31: 92.32%
  Round 32: 92.32%
  Round 33: 92.29%
  Round 34: 92.28%
  Round 35: 92.31%
  Round 36: 92.49%
  Round 37: 92.31%
  Round 38: 92.43%
  Round 39: 92.50%
  Round 40: 92.45%
  Round 41: 92.61%
  Round 42: 92.70%
  Round 43: 92.72%
  Round 44: 92.89%
  Round 45: 92.79%
  Round 46: 92.69%
  Round 47: 92.88%
  Round 48: 92.91%
  Round 49: 93.59%
  Round 50: 93.24%
  Round 51: 93.23%
  Round 52: 93.73%
  Round 53: 93.53%
  Round 54: 93.35%
  Round 55: 93.43%
  Round 56: 93.65%
  Round 57: 93.99%
  Round 58: 93.61%
  Round 59: 93.83%
  Round 60: 94.00%
  Round 61: 93.56%
  Round 62: 93.80%
  Round 63: 93.71%
  Round 64: 93.48%
  Round 65: 93.52%
  Round 66: 94.10%
  Round 67: 93.89%
  Round 68: 93.83%
  Round 69: 94.03%
  Round 70: 94.08%
  Round 71: 93.92%
  Round 72: 93.96%
  Round 73: 93.95%
  Round 74: 93.93%
  Round 75: 94.07%
  Round 76: 94.29%
  Round 77: 93.30%
  Round 78: 93.70%
  Round 79: 93.55%
  Round 80: 93.65%
  Round 81: 93.72%
  Round 82: 93.73%
  Round 83: 93.97%
  Round 84: 93.60%
  Round 85: 93.60%
  Round 86: 94.14%
  Round 87: 93.37%
  Round 88: 94.11%
  Round 89: 94.10%
  Round 90: 93.86%
  Round 91: 93.94%
  Round 92: 93.70%
  Round 93: 94.11%
  Round 94: 93.81%
  Round 95: 93.62%
  Round 96: 93.58%
  Round 97: 93.77%
  Round 98: 94.11%
  Round 99: 93.55%
  Round 100: 93.85%
